Tipo de convocatoria,Título,Órgano convocante,Localización,Importe,Procedimiento,Actividad,Enlace al detalle de la convocatoria,Enlace original
AYUDA/SUBVENCION,SUBVENCION NOMINATIVA A LA UC. MEJORA EFICIENCIA ENERGETICA DEL EDIFICIO DE LA FACULTAD DE CIENCIAS.,"CANTABRIA - CONSEJERÍA DE FOMENTO, ORDENACIÓN DELTERRITORIO Y MEDIO AMBIENTE",ES13 - CANTABRIA,,,EDUCACIÓN,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/751073,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/751073/subvencion-nominativa-a-la-uc-mejora-eficiencia-energetica-del-edificio-de-la-facultad-de-ciencias
AYUDA/SUBVENCION,"Decreto 13/2024, de 26 de marzo, por el que se regula la concesión directa de una subvención para la construcción de viviendas en alquiler social en edificios energéticamente eficientes del Plan de Recuperación, Transformación y Resilienci",CASTILLA-LA MANCHA - DIRECCIÓN GENERAL DE VIVIENDA,ES425 - Toledo,,,Construcción de edificios,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/752955,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/752955/decreto-13-2024-de-26-de-marzo-por-el-que-se-regula-la-concesion-directa-de-una-subvencion-para-la-construccion-de-viviendas-en-alquiler-social-en-edificios-energeticamente-eficientes-del-plan-de-recuperacion-transformacion-y-resilienci
AYUDA/SUBVENCION,"SUBVENCIONES EN MATERIA DE REHABILITACIÓN RESIDENCIAL EN LA CIUDAD DE MELILLA CORRESPONDIENTES AL PROGRAMA DE AYUDAS A ACTUACIONES DE REHABILITACIÓN A NIVEL DE BARRIO, PREVISTAS EN EL REAL DECRETO 853/2021.","CIUDAD AUTÓNOMA DE MELILLA - CONSEJERÍA DE ECONOMÍA, COMERCIO, INNOVACIÓN TECNOLÓGICA, TURISMO Y FOMENTO",ES64 - CIUDAD AUTONOMA DE MELILLA,,,CONSTRUCCIÓN,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/753583,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/753583/subvenciones-en-materia-de-rehabilitacion-residencial-en-la-ciudad-de-melilla-correspondientes-al-programa-de-ayudas-a-actuaciones-de-rehabilitacion-a-nivel-de-barrio-previstas-en-el-real-decreto-853-2021
AYUDA/SUBVENCION,BASES REGULADORAS PARA LA CONCESIÓN DE SUBVENCIONES DESTINADAS A LA REHABILITACIÓN RESIDENCIAL INCLUIDAS EN LOS ERRP DELIMITADOS EN ELTÉRMINO MUNICIPAL DE A VEIGA FINANCIADAS CON CARGO AL PRTR (UNIÓN EUROPEA NEXTGENERATION- EU).,"VEIGA, A - AYUNTAMIENTO DE VEIGA, A",ES113 - Ourense,,,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS; CONSTRUCCIÓN; SUMINISTRO DE ENERGÍA ELÉCTRICA, GAS, VAPOR Y AIRE ACONDICIONADO",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/753947,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/753947/bases-reguladoras-para-la-concesion-de-subvenciones-destinadas-a-la-rehabilitacion-residencial-incluidas-en-los-errp-delimitados-en-eltermino-municipal-de-a-veiga-financiadas-con-cargo-al-prtr-union-europea-nextgeneration-eu
AYUDA/SUBVENCION,Bases reguladoras de subvenciones para la rehabilitación de actuaciones incluídas en el Programa de ayuda a actuaciones de rehabilitación a nivel de Barrio delPlan PRTR financiado pola Unión Europea &#8208 NextGenerationEU en el ERRP declarado en Sober.,SOBER - AYUNTAMIENTO DE SOBER,ES112 - Lugo,,,CONSTRUCCIÓN,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/755624,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/755624/bases-reguladoras-de-subvenciones-para-la-rehabilitacion-de-actuaciones-incluidas-en-el-programa-de-ayuda-a-actuaciones-de-rehabilitacion-a-nivel-de-barrio-delplan-prtr-financiado-pola-union-europea-and-8208-nextgenerationeu-en-el-errp-declarado-en-sober
AYUDA/SUBVENCION,"Concesión de ayudas, en régimen de concurrencia competitiva, dirigidas a proyectos de infraestructuras ambientales, sociales y digitales en municipios de zonas afectadas por la transición energética en el marco del PRTR. 2ª convocatoria.","ESTADO - MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO - INSTITUTO PARA LA TRANSICIÓN JUSTA, O.A.",ES111 - A Coruña; ES112 - Lugo; ES12 - PRINCIPADO DE ASTURIAS; ES211 - Araba/Álava; ES242 - Teruel; ES243 - Zaragoza; ES412 - Burgos; ES413 - León; ES414 - Palencia; ES423 - Cuenca; ES424 - Guadalajara; ES611 - Almería; ES612 - Cádiz; ES613 - Córdoba,,,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES; OTROS SERVICIOS,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/755756,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/755756/concesion-de-ayudas-en-regimen-de-concurrencia-competitiva-dirigidas-a-proyectos-de-infraestructuras-ambientales-sociales-y-digitales-en-municipios-de-zonas-afectadas-por-la-transicion-energetica-en-el-marco-del-prtr-2-convocatoria
AYUDA/SUBVENCION,"Orden FOM/4/2024, que modifica la Orden IND/31/2022, por la que se aprueba la convocatoria de ayudas para la transformación de flotas de transporte de viajeros y mercancias de empresas privadas. Act. 2","CANTABRIA - CONSEJERÍA DE FOMENTO, ORDENACIÓN DELTERRITORIO Y MEDIO AMBIENTE",ES13 - CANTABRIA,,,TRANSPORTE Y ALMACENAMIENTO,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/755812,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/755812/orden-fom-4-2024-que-modifica-la-orden-ind-31-2022-por-la-que-se-aprueba-la-convocatoria-de-ayudas-para-la-transformacion-de-flotas-de-transporte-de-viajeros-y-mercancias-de-empresas-privadas-act-2
AYUDA/SUBVENCION,"Subvenciones a Entidades Locales de Navarra para implementación de herramientas digitales en Proyectos de prescripción de actividad y ejercicio físico para la salud, en el marco del Plan de Recuperación, Transformación y Resiliencia",COMUNIDAD FORAL DE NAVARRA - INSTITUTO NAVARRO DE DEPORTE,ES22 - COMUNIDAD FORAL DE NAVARRA,,,Actividades deportivas,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/756190,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/756190/subvenciones-a-entidades-locales-de-navarra-para-implementacion-de-herramientas-digitales-en-proyectos-de-prescripcion-de-actividad-y-ejercicio-fisico-para-la-salud-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia
AYUDA/SUBVENCION,"Segunda convocatoria de ayudas para la mejora de las infraestructuras de alojamientos turísticos del Plan Ceuta, Componente 14I03 del Plan de Recuperación, Transformación y Resiliencia","CIUDAD AUTÓNOMA DE CEUTA - CONSEJERÍA DE COMERCIO, TURISMO, EMPLEO Y DEPORTE",ES630 - Ceuta,,,OTROS SERVICIOS,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/756363,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/756363/segunda-convocatoria-de-ayudas-para-la-mejora-de-las-infraestructuras-de-alojamientos-turisticos-del-plan-ceuta-componente-14i03-del-plan-de-recuperacion-transformacion-y-resiliencia
AYUDA/SUBVENCION,ACUERDO DE JUNTA DE GOBIERNO LOCAL DE 20 DE MARZO DE 2024 POR EL QUE SE CONVOCA SUBVENCIONES ECONÓMICAS POR PARTE DEL AYUNTAMIENTO DE SESTAO PARA LA REALIZACIÓN DE ACTIVIDADES DE CARÁCTER SOCIO-CULTURAL DURANTE EL EJERCICIO 2024,SESTAO - AYUNTAMIENTO DE SESTAO,ES - ESPAÑA,,,"ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/757000,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/757000/acuerdo-de-junta-de-gobierno-local-de-20-de-marzo-de-2024-por-el-que-se-convoca-subvenciones-economicas-por-parte-del-ayuntamiento-de-sestao-para-la-realizacion-de-actividades-de-caracter-socio-cultural-durante-el-ejercicio-2024
AYUDA/SUBVENCION,"RESOLUCIÓN EMT/ /2024, de , por la que se abre la convocatoria para el 2024 en relación con las actuaciones del Programa de soporte a las mujeres en los ámbitos rural y urbano, en el marco del Plan de Recuperación, Transformación y Resiliencia-",CATALUÑA - SERVICIO PÚBLICO DE EMPLEO DE CATALUÑA,ES51 - CATALUÑA,,,Actividades relacionadas con el empleo,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/757384,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/757384/resolucion-emt-2024-de-por-la-que-se-abre-la-convocatoria-para-el-2024-en-relacion-con-las-actuaciones-del-programa-de-soporte-a-las-mujeres-en-los-ambitos-rural-y-urbano-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia
AYUDA/SUBVENCION,AYUDAS MODERNIZACIÓN EMPRESAS DE TRANSPORTE PRTR,"LA RIOJA - CONSEJERÍA DE POLÍTICA LOCAL, INFRAESTRUCTURAS Y LUCHA CONTRA LA DESPOBLACIÓN",ES230 - La Rioja,,,Transporte terrestre y por tubería,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/757462,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/757462/ayudas-modernizacion-empresas-de-transporte-prtr
AYUDA/SUBVENCION,Ayudas para la transformación de flotas en el marco del PRTR. Actividad 1,"LA RIOJA - CONSEJERÍA DE POLÍTICA LOCAL, INFRAESTRUCTURAS Y LUCHA CONTRA LA DESPOBLACIÓN",ES230 - La Rioja,,,Transporte terrestre y por tubería,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/757464,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/757464/ayudas-para-la-transformacion-de-flotas-en-el-marco-del-prtr-actividad-1
AYUDA/SUBVENCION,REHABILITACION A NIVEL DE BARRIOS,ILLES BALEARS - DIRECCIÓN GENERAL DE ARQUITECTURA Y VIVIENDA,ES53 - ILLES BALEARS,,,OTROS SERVICIOS,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/758366,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/758366/rehabilitacion-a-nivel-de-barrios
AYUDA/SUBVENCION,REHABILITACION A NIVEL DE BARRIOS,ILLES BALEARS - DIRECCIÓN GENERAL DE ARQUITECTURA Y VIVIENDA,ES53 - ILLES BALEARS,,,OTROS SERVICIOS,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/758367,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/758367/rehabilitacion-a-nivel-de-barrios
AYUDA/SUBVENCION,"Subvención nominativa a favor del Ayuntamiento de Bareyo destinada al Proyecto de Educación Infantil, Primer ciclo. Ejercicio 2024. PROGRAMA 140 A.","CANTABRIA - CONSEJERÍA DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y UNIVERSIDADES",ES130 - Cantabria,,,Educación preprimaria,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/760591,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/760591/subvencion-nominativa-a-favor-del-ayuntamiento-de-bareyo-destinada-al-proyecto-de-educacion-infantil-primer-ciclo-ejercicio-2024-programa-140-a
AYUDA/SUBVENCION,"Subvención nominativa a favor del Ayuntamiento de NOJA destinada al Proyecto de Educación Infantil, Primer ciclo. Ejercicio 2024. PROGRAMA 140 A.","CANTABRIA - CONSEJERÍA DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y UNIVERSIDADES",ES130 - Cantabria,,,Educación preprimaria,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/760596,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/760596/subvencion-nominativa-a-favor-del-ayuntamiento-de-noja-destinada-al-proyecto-de-educacion-infantil-primer-ciclo-ejercicio-2024-programa-140-a
AYUDA/SUBVENCION,"Subvención nominativa a favor del Ayuntamiento de Cartes destinada al Proyecto de Educación Infantil, Primer ciclo. Ejercicio 2024. PROGRAMA 140 A.","CANTABRIA - CONSEJERÍA DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y UNIVERSIDADES",ES130 - Cantabria,,,Educación preprimaria,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/761689,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/761689/subvencion-nominativa-a-favor-del-ayuntamiento-de-cartes-destinada-al-proyecto-de-educacion-infantil-primer-ciclo-ejercicio-2024-programa-140-a
AYUDA/SUBVENCION,"BASES REGULADORAS DE LA CONCESIÓN DE SUBVENCIONES PARA LAS ACTUACIONES DE REHABILITACIÓN DE EDIFICIOS Y VIVIENDAS SITUADAS EN EL ENTORNO RESIDENCIAL DE REHABILITACIÓN PROGRAMADA “VILLALAR DE LOS COMUNEROS”, EN EL MUNICIPIO DE “VILLALAR DE LOS COMUNEROS”",VILLALAR DE LOS COMUNEROS - AYUNTAMIENTO DE VILLALAR DE LOS COMUNEROS,ES418 - Valladolid,,,Construcción de edificios,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/762296,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/762296/bases-reguladoras-de-la-concesion-de-subvenciones-para-las-actuaciones-de-rehabilitacion-de-edificios-y-viviendas-situadas-en-el-entorno-residencial-de-rehabilitacion-programada-villalar-de-los-comuneros-en-el-municipio-de-villalar-de-los-comuneros
AYUDA/SUBVENCION,"SUBVENCIÓN NOMINATIVA A FAVOR DE COMISIONES OBRERAS DE ARAGÓN, PARA EL APOYO AL DESARROLLO DE LOS PROCEDIMIENTOS DE EVALUACIÓN Y ACREDITACIÓN DE COMPETENCIAS PROFESIONALES CURSO 23/24",ARAGÓN - DIRECCIÓN GENERAL DE PLANIFICACIÓN Y EQUIDAD,ES24 - ARAGON,,,EDUCACIÓN,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/762424,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/762424/subvencion-nominativa-a-favor-de-comisiones-obreras-de-aragon-para-el-apoyo-al-desarrollo-de-los-procedimientos-de-evaluacion-y-acreditacion-de-competencias-profesionales-curso-23-24
AYUDA/SUBVENCION,"SUBVENCIÓN NOMINATIVA A FAVOR DE UNIÓN GENERAL DE TRABAJADORES DE ARAGÓN, PARA EL APOYO AL DESARROLLO DE LOS PROCEDIMIENTOS DE EVALUACIÓN Y ACREDITACIÓN DE COMPETENCIAS PROFESIONALES CURSO 23/24",ARAGÓN - DIRECCIÓN GENERAL DE PLANIFICACIÓN Y EQUIDAD,ES24 - ARAGON,,,EDUCACIÓN,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/762440,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/762440/subvencion-nominativa-a-favor-de-union-general-de-trabajadores-de-aragon-para-el-apoyo-al-desarrollo-de-los-procedimientos-de-evaluacion-y-acreditacion-de-competencias-profesionales-curso-23-24
AYUDA/SUBVENCION,"SUBVENCIÓN NOMINATIVA A FAVOR DE CONFEDERACIÓN DE EMPRESARIOS DE ARAGÓN, PARA EL APOYO AL DESARROLLO DE LOS PROCEDIMIENTOS DE EVALUACIÓN Y ACREDITACIÓN DE COMPETENCIAS PROFESIONALES CURSO 23/24",ARAGÓN - DIRECCIÓN GENERAL DE PLANIFICACIÓN Y EQUIDAD,ES24 - ARAGON,,,EDUCACIÓN,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/762458,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/762458/subvencion-nominativa-a-favor-de-confederacion-de-empresarios-de-aragon-para-el-apoyo-al-desarrollo-de-los-procedimientos-de-evaluacion-y-acreditacion-de-competencias-profesionales-curso-23-24
AYUDA/SUBVENCION,"SUBVENCIÓN NOMINATIVA A FAVOR DE CONFEDERACIÓN DE LA PEQUEÑA Y MEDIANA EMPRESA DE ARAGÓN, PARA EL APOYO AL DESARROLLO DE LOS PROCEDIMIENTOS DE EVALUACIÓN Y ACREDITACIÓN DE COMPETENCIAS PROFESIONALES CURSO 23/24",ARAGÓN - DIRECCIÓN GENERAL DE PLANIFICACIÓN Y EQUIDAD,ES24 - ARAGON,,,EDUCACIÓN,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/762460,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/762460/subvencion-nominativa-a-favor-de-confederacion-de-la-pequena-y-mediana-empresa-de-aragon-para-el-apoyo-al-desarrollo-de-los-procedimientos-de-evaluacion-y-acreditacion-de-competencias-profesionales-curso-23-24
AYUDA/SUBVENCION,"Convocatoria para la concesión de subvenciones para la implementación de actividades de capacitación en competencias digitales a la infancia, adolescencia y juventud vulnerable, en el marco del Plan de Recuperación, Transformación y Resiliencia",ARAGÓN - DIRECCIÓN GENERAL DE INCLUSIÓN SOCIAL Y VOLUNTARIADO,ES24 - ARAGON,,,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/766012,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/766012/convocatoria-para-la-concesion-de-subvenciones-para-la-implementacion-de-actividades-de-capacitacion-en-competencias-digitales-a-la-infancia-adolescencia-y-juventud-vulnerable-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia
AYUDA/SUBVENCION,ORDE do 12 de xuño de 2024 pola que se establecen as bases reguladoras para a concesión de axudas para a realización de actuacións de rehabilitación e/ou equipamento de edificacións para vivendas das entidades locais de Galicia destinadas á atención a per,GALICIA - CONSELLERÍA DE POLÍTICA SOCIAL Y JUVENTUD,ES11 - GALICIA,,,Otras actividades de servicios sociales sin alojamiento,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/767658,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/767658/orde-do-12-de-xuno-de-2024-pola-que-se-establecen-as-bases-reguladoras-para-a-concesion-de-axudas-para-a-realizacion-de-actuacions-de-rehabilitacion-e-ou-equipamento-de-edificacions-para-vivendas-das-entidades-locais-de-galicia-destinadas-a-atencion-a-per
AYUDA/SUBVENCION,ORDE do 12 de xuño de 2024 pola que se establecen as bases reguladoras para a concesión de axudas para a realización de actuacións de rehabilitación e/ou equipamento de edificacións para vivendas das entidades locais de Galicia destinadas á atención a per,GALICIA - CONSELLERÍA DE POLÍTICA SOCIAL Y JUVENTUD,ES11 - GALICIA,,,Otras actividades de servicios sociales sin alojamiento,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/768592,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/768592/orde-do-12-de-xuno-de-2024-pola-que-se-establecen-as-bases-reguladoras-para-a-concesion-de-axudas-para-a-realizacion-de-actuacions-de-rehabilitacion-e-ou-equipamento-de-edificacions-para-vivendas-das-entidades-locais-de-galicia-destinadas-a-atencion-a-per
AYUDA/SUBVENCION,Acuerdo Plenario de 28.09.2023_Aprobación de las Bases de convocatoria para la concesión de subvenciones a Comunidades de Propietarias y Propietarios para la rehabilitación energética de edificios incluidos en el Barrio de Goikolarra,AMURRIO - AYUNTAMIENTO DE AMURRIO,ES211 - Araba/Álava,,,CONSTRUCCIÓN,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/768997,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/768997/acuerdo-plenario-de-28-09-2023-aprobacion-de-las-bases-de-convocatoria-para-la-concesion-de-subvenciones-a-comunidades-de-propietarias-y-propietarios-para-la-rehabilitacion-energetica-de-edificios-incluidos-en-el-barrio-de-goikolarra
AYUDA/SUBVENCION,Subvención directa Ayuntamiento de Itsasondo-Mina San Jose NextGenerationEU,"PAÍS VASCO - DEPARTAMENTO DE DESARROLLO ECONÓMICO, SOSTENIBILIDAD Y MEDIO AMBIENTE",ES21 - PAIS VASCO,,,Actividades de descontaminación y otros servicios de gestión de residuos,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/769404,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/769404/subvencion-directa-ayuntamiento-de-itsasondo-mina-san-jose-nextgenerationeu
AYUDA/SUBVENCION,"CONVOCATORIA DE AYUDAS A TITULARES DE TENDIDOS ELECTRICOS PARA SU CORRECCION DE ACUERDO AL REAL DECRETO 1432/2008, DE 29 DE AGOSTO, DURANTE LOS EJERCICIOS 2024 y 2025, EN EL MARCO DEL PLAN DE RECUPERACIÓN, TRANSFORMACIÓN Y RESILIENCIA FINANCIADO POR LA UN",COMUNIDAD FORAL DE NAVARRA - DEPARTAMENTO DE DESARROLLO RURAL Y MEDIO AMBIENTE,ES22 - COMUNIDAD FORAL DE NAVARRA,,,"Producción, transporte y distribución de energía eléctrica",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/769412,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/769412/convocatoria-de-ayudas-a-titulares-de-tendidos-electricos-para-su-correccion-de-acuerdo-al-real-decreto-1432-2008-de-29-de-agosto-durante-los-ejercicios-2024-y-2025-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-financiado-por-la-un
AYUDA/SUBVENCION,"CONVOCATORIA PARA LA CONCESIÓN DE AYUDAS CORRESPONDIENTES AL PROGRAMA DE ACTUACIONES DE REHABILITACIÓN A NIVEL DE BARRIO DEL BARRIO DEL “EL COBAYU” - RIBADESELLA, CON CARGO AL PLAN DE RECUPERACIÓN, TRANSFORMACIÓN RESILIENCIA",RIBADESELLA - AYUNTAMIENTO DE RIBADESELLA,ES12 - PRINCIPADO DE ASTURIAS,,,CONSTRUCCIÓN,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/770959,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/770959/convocatoria-para-la-concesion-de-ayudas-correspondientes-al-programa-de-actuaciones-de-rehabilitacion-a-nivel-de-barrio-del-barrio-del-el-cobayu-ribadesella-con-cargo-al-plan-de-recuperacion-transformacion-resiliencia
AYUDA/SUBVENCION,"CONVOCATORIA PARA LA CONCESIÓN DE AYUDAS CORRESPONDIENTES AL PROGRAMA DE ACTUACIONES DE REHABILITACIÓN A NIVEL DE BARRIO DEL BARRIO DEL “EL COBAYU” - RIBADESELLA, CON CARGO AL PLAN DE RECUPERACIÓN, TRANSFORMACIÓN RESILIENCIA",RIBADESELLA - AYUNTAMIENTO DE RIBADESELLA,ES12 - PRINCIPADO DE ASTURIAS,,,CONSTRUCCIÓN,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/771165,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/771165/convocatoria-para-la-concesion-de-ayudas-correspondientes-al-programa-de-actuaciones-de-rehabilitacion-a-nivel-de-barrio-del-barrio-del-el-cobayu-ribadesella-con-cargo-al-plan-de-recuperacion-transformacion-resiliencia
AYUDA/SUBVENCION,Orden de la Consejería de Educación por la que se convoca la selección de proyectos para aulas profesionales de emprendimiento a desarrollar por centros docentes públicos de la Región de Murcia para el primer trimestre del curso 2022-2023,REGIÓN DE MURCIA - CONSEJERÍA DE EDUCACIÓN Y FORMACIÓN PROFESIONAL,ES62 - REGION DE MURCIA,,,EDUCACIÓN,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/772197,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/772197/orden-de-la-consejeria-de-educacion-por-la-que-se-convoca-la-seleccion-de-proyectos-para-aulas-profesionales-de-emprendimiento-a-desarrollar-por-centros-docentes-publicos-de-la-region-de-murcia-para-el-primer-trimestre-del-curso-2022-2023
AYUDA/SUBVENCION,"SUBV. MODERNIZACIÓN INFRAESTRUCTURAS ARTES ESCÉNICAS Y MUSICALES 2024, ayudas por categorización Reglamento 651/2014",CASTILLA-LA MANCHA - VICECONSEJERÍA DE CULTURA Y DEPORTES,ES42 - CASTILLA LA MANCHA,,,"ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/775188,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/775188/subv-modernizacion-infraestructuras-artes-escenicas-y-musicales-2024-ayudas-por-categorizacion-reglamento-651-2014
AYUDA/SUBVENCION,Programa de primera experiencia profesional en las Administraciones Públicas,CANARIAS - SERVICIO CANARIO DE EMPLEO,ES70 - CANARIAS,,,OTROS SERVICIOS,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/776459,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/776459/programa-de-primera-experiencia-profesional-en-las-admnistraciones-publicas
AYUDA/SUBVENCION,"SUBV. FINANC. MEJORA O REHABILITACION DE EDIFICIOS DE USO PREDOMINANTEMENTE RESIDENCIAL PARA VIVIENDA EN LOS ENTORNOS RESIDENCIALES DE REHABILITACION PROGRAMADA DE BARRIO VERDE-FRONTERAS, INTA-COBOS Y SAN JOSE-ROSARIO (SITUACIONES VULNERABILIDAD)",TORREJÓN DE ARDOZ - AYUNTAMIENTO DE TORREJÓN DE ARDOZ,ES30 - COMUNIDAD DE MADRID,,,Construcción de edificios,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/777139,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/777139/subv-financ-mejora-o-rehabilitacion-de-edificios-de-uso-predominantemente-residencial-para-vivienda-en-los-entornos-residenciales-de-rehabilitacion-programada-de-barrio-verde-fronteras-inta-cobos-y-san-jose-rosario-situaciones-vulnerabilidad
AYUDA/SUBVENCION,"Convocatoria para las ayudas del Programa 1 “Programa de ayuda a las actuaciones de rehabilitación a nivel de barrio”, para llevar a cabo las actuaciones de rehabilitación de edificios predominantemente residencial y viviendas (ayudas de no minimis)",INCA - AYUNTAMIENTO DE INCA,ES532 - Mallorca,,,Construcción de edificios,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/777738,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/777738/convocatoria-para-las-ayudas-del-programa-1-programa-de-ayuda-a-las-actuaciones-de-rehabilitacion-a-nivel-de-barrio-para-llevar-a-cabo-las-actuaciones-de-rehabilitacion-de-edificios-predominantemente-residencial-y-viviendas-ayudas-de-no-minimis
AYUDA/SUBVENCION,"Convocatoria para las ayudas del Programa 1 “Programa de ayuda a las actuaciones de rehabilitación a nivel de barrio”, para llevar a cabo las actuaciones de rehabilitación de edificios predominantemente residencial y viviendas (Minimis)",INCA - AYUNTAMIENTO DE INCA,ES532 - Mallorca,,,Construcción de edificios,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/777740,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/BDNS/777740/convocatoria-para-las-ayudas-del-programa-1-programa-de-ayuda-a-las-actuaciones-de-rehabilitacion-a-nivel-de-barrio-para-llevar-a-cabo-las-actuaciones-de-rehabilitacion-de-edificios-predominantemente-residencial-y-viviendas-minimis
